Date/Time,Latitude (degree),Longitude (degree),Error optical depth liquid (1),Optical depth liquid (1),Optical depth ice (1), Error optical depth ice (1),Optical depth total (1), Error optical depth total (1),Effective droplet radius liquid (um),Error effective droplet radius liquid (um),Effective droplet radius ice (um),Error effective droplet radius (um),Liquid water path (g m^(-2)),Error liquid water path (g m^(-2)),Ice water path (g m^(-2)),Error ice water path (g m^(-2)),Total water path (g m^(-2)),Error total water path (g m^(-2)),Averaging Kernel matrix [11],Averaging Kernel matrix [12],Averaging Kernel matrix [13],Averaging Kernel matrix [14],Averaging Kernel matrix [21],Averaging Kernel matrix [22],Averaging Kernel matrix [23],Averaging Kernel matrix [24],Averaging Kernel matrix [31],Averaging Kernel matrix [32],Averaging Kernel matrix [33],Averaging Kernel matrix [34],Averaging Kernel matrix [41],Averaging Kernel matrix [42],Averaging Kernel matrix [43],Averaging Kernel matrix [44],Chi_2,Residual,Noise,PWV,Fname
2017-06-11T10:09:00,81.843103,11.096427,2.29938125,0.16022472,3.68786941,0.21145804,5.98725066,0.37168276,7.21881634,1.1111775,38.6336032,1.45645865,11.06587397,2.47443569,87.76718602,21.57345053,98.83305999,24.04788622,0.6574024,-0.02565635,0.07891205,-0.4706246,-0.1266651,0.8123713,0.1249183,-0.255385,-0.0570353,0.1603283,0.07871581,0.1658702,-0.03039861,0.01911579,-0.07554489,-0.06961548,361.557920309,0.103,0.057,1.091,Emission_20170611_1009.0.kali.dat,
2017-06-11T10:44:00,81.840916,11.10771,0.0,0.18686538,7.98334154,0.16494763,7.98334154,0.35181301,7.0,1.48601655,35.40534705,1.52053169,0.0,0.87203842,173.99461096,47.26864115,173.99461096,48.14067957,0.216632,0.02546376,-0.06350011,-0.09572065,0.03802764,0.4538456,-0.1049929,-0.1475088,0.0,0.0,0.0,0.0,-0.04744795,0.02597651,0.1462898,-0.1033941,718.221775296,0.0766,0.0416,1.079,Emission_20170611_1044.0.kali.dat,
2017-06-11T10:46:00,81.840824,11.108179,0.00795931,0.20210963,5.39611879,0.07556938,5.4040781,0.27767901,7.0,0.0,32.62104986,1.12040925,0.03714347,0.94317828,109.57304345,20.88975654,109.61018692,21.83293482,0.4646179,0.01050806,0.0,-0.4909147,-0.08921073,0.5230366,0.0,-0.8333838,0.0,0.0,0.0,0.0,-0.03079581,0.01153963,0.0,0.2324102,1395.14337119,0.0997,0.0581,1.088,Emission_20170611_1046.0.kali.dat,
2017-06-11T10:50:00,81.840569,11.109443,1.04915731,0.32230012,4.99881686,0.33292953,6.04797417,0.65522965,9.97444224,1.86374389,33.89319845,1.72775702,6.976506,3.44674966,104.85683692,32.87468217,111.83334292,36.32143183,0.2257335,0.4490602,0.1371409,-0.09305641,-0.4467218,1.118718,0.1280135,0.01554225,-0.167438,0.1873034,0.06152679,-0.003160463,-0.007489746,0.003126704,0.01830864,0.141862,469.895870494,0.1008,0.0573,1.093,Emission_20170611_1050.0.kali.dat,
2017-06-11T10:54:00,81.840317,11.110653,0.03573416,0.25964681,7.12339474,0.20515417,7.1591289,0.46480098,6.73775591,2.24985663,28.15355524,1.75032593,0.16051202,1.21988903,124.12498205,46.0136516,124.28549407,47.23354063,0.5613891,0.0215865,0.3685284,0.1015005,-0.09385869,0.6756201,0.1761574,-0.1647206,0.00294474,-0.001176146,0.04875822,-0.009258539,-0.04902663,0.03552786,-0.02632224,0.166484,417.014632143,0.0865,0.0649,1.092,Emission_20170611_1054.0.kali.dat,
2017-06-11T10:55:00,81.840267,11.110931,0.54494422,0.11518908,3.69343763,0.11233291,4.23838185,0.22752199,12.90653924,1.60399898,29.80870438,1.28980271,4.68889597,1.57385489,67.98110378,16.74331438,72.66999975,18.31716927,0.5745734,0.5634663,0.07333674,-0.5285735,0.1244073,0.9443235,-0.05046515,0.2335014,-0.0378242,0.04525231,-0.08984686,0.2047604,-0.03938842,0.03191885,-0.03127539,0.4634841,315.70391317,0.0976,0.0587,1.078,Emission_20170611_1055.0.kali.dat,
2017-06-11T10:58:00,81.840053,11.112045,1.49835634,0.14447622,0.63462989,0.15114073,2.13298623,0.29561695,13.85477729,0.51706837,32.0399633,2.17891691,13.83959562,1.85095901,12.66813758,7.58501695,26.5077332,9.43597596,0.7945488,0.1918601,-0.590362,0.09520785,-0.5078429,1.513402,1.447543,-0.2323038,-0.3003482,0.3311175,0.8143979,-0.2266872,-0.01696493,0.01609704,0.04936758,-0.02606515,399.844484786,0.1485,0.0865,1.092,Emission_20170611_1058.0.kali.dat,
2017-06-11T10:59:00,81.840016,11.112247,0.51857169,0.04355357,0.62816705,0.0469061,1.14673874,0.09045967,13.20422493,0.46063266,31.49159701,2.75558572,4.56489146,0.54264149,12.31882685,6.81476988,16.88371831,7.35741137,1.111496,-0.1561831,-0.7443948,0.01711223,0.1522567,0.8114559,0.6230406,0.04554429,-0.01579624,0.01813734,0.6546102,0.1142506,-0.01384212,0.01344526,-0.01771299,0.08545035,337.71758025,0.1954,0.1059,1.078,Emission_20170611_1059.0.kali.dat,
2017-06-11T11:01:00,81.839873,11.113,0.03866817,0.05500151,1.68787398,0.05280671,1.72654215,0.10780822,17.21256512,3.16399772,21.99783933,0.43231406,0.44371896,0.71270877,23.31385732,2.92408824,23.75757628,3.63679701,0.04466772,0.9945339,-0.303849,-1.027466,0.01016622,0.9892143,-0.1441193,0.02155574,-0.005299462,0.005385978,-0.131632,-0.01191513,0.001967446,-0.002474265,0.1119605,0.9974027,346.407361733,0.1541,0.0815,1.096,Emission_20170611_1101.0.kali.dat,
2017-06-11T11:03:00,81.839777,11.113503,0.21759211,0.01423017,0.15432641,0.01912093,0.37191852,0.0333511,16.64502687,0.882669,17.01641323,1.75087262,2.41455103,0.28594895,1.69852806,1.09508592,4.11307909,1.38103487,1.282704,-0.1368932,-24.37788,62.18847,1.299172,-0.201612,-22.91813,52.89439,0.003196715,-0.003831876,0.5468992,-0.04455111,-0.005539067,0.006339073,0.05586335,0.7267338,427.532129305,0.3882,0.1823,1.095,Emission_20170611_1103.0.kali.dat,
