%#TITLE = Sample 1 - Emissivity of Ice Snow - Average of 3 Sets (Mammoth Lakes)
%#MEMO =Emissivity of Ice Snow %#1, 3 sets of 1024 scans, 4 cm-1, 4/1/1996 17:14:39
%#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
%#ORIGIN = MODIS GROUP OF ICESS, UCSB
%#PI = ZHENGMING WAN
%#EMAIL: wan@icess.ucsb.edu
%#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
%#OPERATOR = YULIN ZHANG
%#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
%#DATE = 0/0/0
%#TIME = 0:0
%#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
%#XUNITS = 1/CM
%#YUNITS = ABSOLUTE EMISSIVITY
%#FIRSTX = 686.869
%#LASTX = 2998.3
%#NPOINTS = 600
%#DELTAX = 3.85882
%#CLASS = FTIR
%#FILE NAME:SNOW_1
%#XYDATA=
%
% Note: the first value (400 cm-1) was not measured.  It was
% set equal to the first measurement at 686.869 cm-1
% PMR 15 Feb. 2012
%
%#X(Micrometer)  %#X(cm-1)        %#Yvalue
25.0000         400.000         .969777
14.5588         686.869         .969777
14.4775         690.728         .969186
14.397          694.587         .969255
14.3175         698.446         .968456
14.2388         702.305         .968401
14.161          706.164         .968193
14.0841         710.022         .967464
14.0079         713.881         .96705
13.9326         717.74          .966669
13.8581         721.599         .965869
13.7844         725.458         .965618
13.7115         729.316         .965166
13.6393         733.175         .964984
13.5679         737.034         .96468
13.4972         740.893         .964415
13.4273         744.752         .964514
13.3581         748.611         .964502
13.2896         752.469         .964523
13.2218         756.328         .964779
13.1546         760.187         .964939
13.0882         764.046         .965171
13.0224         767.905         .965263
12.9573         771.763         .965631
12.8929         775.622         .96608
12.829          779.481         .966316
12.7658         783.34          .966703
12.7033         787.199         .966992
12.6413         791.058         .967192
12.5799         794.916         .9675
12.5192         798.775         .967766
12.459          802.634         .968281
12.3994         806.493         .968481
12.3403         810.352         .968636
12.2818         814.21          .969122
12.2239         818.069         .969658
12.1665         821.928         .970278
12.1097         825.787         .970798
12.0533         829.646         .971152
11.9975         833.505         .971685
11.9422         837.363         .972312
11.8875         841.222         .973124
11.8332         845.081         .973959
11.7794         848.94          .974566
11.7261         852.799         .975257
11.6733         856.657         .975993
11.6209         860.516         .976793
11.569          864.375         .977713
11.5176         868.234         .978647
11.4667         872.093         .9795
11.4161         875.952         .980457
11.3661         879.81          .981414
11.3164         883.669         .982541
11.2672         887.528         .983548
11.2185         891.387         .984644
11.1701         895.246         .985664
11.1222         899.104         .986701
11.0746         902.963         .987682
11.0275         906.822         .988718
10.9808         910.681         .989631
10.9345         914.54          .990545
