fname,date,tt,dtt,fi,dfi,rl,drl,ri,dri,lwp,dlwp,iwp,diwp,twp,dtwp,rms,ctemp,pwv,conv,cbase,ctop
results_simulation_2012012006_cld1_0002_ch2_R000HBR.nc.nc,RESULTS/,1.0945291581679382,0.009553757596650841,0.000518645006971545,0.0386088312334683,19.40147985629728,0.08769845084465117,19.786841779850814,0.27080559745654426,14.149647823896341,0.7340512674654676,0.006511177506714938,0.48476014783644056,14.156159001403056,1.218811415301908,0.7123129047884726,254.8000030517578,0.5768242428673749,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R000P.nc.nc,RESULTS/,1.1058457901007503,0.046725222186837057,0.0,0.08778667423418574,20.196546257960016,0.12132404900293779,20.196552316337055,0.0,14.889510435960094,2.0256698022399977,0.0,1.135135710514697,14.889510435960094,3.1608055127546946,0.8171449087000023,254.8000030517578,0.5768242428673749,0,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R000SC.nc.nc,RESULTS/,1.2187738132399168,0.005232307260416629,0.8122387245344049,0.0027288606960522996,3.34592925795918,0.1591999489317255,38.89836144019175,0.21826529879300838,0.5104516789428282,0.03389754041185218,22.177391307296066,0.16971904344256852,22.687842986238895,0.20361658385442072,0.6806119303795211,254.8000030517578,0.5768242428673749,0,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050P.nc.nc,RESULTS/,1.1005657869025531,0.00779150203644532,0.0,0.014377822979687696,19.58735375356979,0.14074320415778077,19.587356863181533,0.2734193145949545,14.371447598090809,0.41163817079028,0.0,0.180026678107674,14.371447598090809,0.591664848897954,0.7666723779310828,254.8000030517578,0.5768242428673749,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050SC.nc.nc,RESULTS/,1.1396975417643451,0.00097812549034023,0.5994882648238107,0.009634122631117154,12.47989260391483,0.1591796292933689,37.61134334572716,0.23163778749789643,3.797733155528515,0.14305169457030814,14.848722810090857,0.2513716561487335,18.64645596561937,0.39442335071904167,0.7269205708709254,254.8000030517578,0.5768242428673749,1,3200.0,3200.0
results_simulation_2012021705_cld1_0002_ch2_R000HBR.nc.nc,RESULTS/,0.9050749051119724,0.03846462912091199,0.0,0.08894051504895757,19.1583803225078,0.10045213748130233,19.162129781109712,0.0,11.559846168328548,1.58002980707241,0.0,0.8988144383531222,11.559846168328548,2.478844245425532,0.7637125730504868,255.5,0.4492936780221164,0,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000P.nc.nc,RESULTS/,0.9190592699252529,0.010396344163344206,4.553293104968744e-05,0.027666224882882843,17.908784514591204,0.04562711492198281,18.114071398788333,0.036610368269326676,10.972323322695223,0.4556496028130066,0.0004416280291071682,0.2683422207601189,10.97276495072433,0.7239918235731255,0.8243315397939531,255.5,0.4492936780221164,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000SC.nc.nc,RESULTS/,0.928194522145949,0.002452151897736,0.14413551409786624,0.056666088192500734,18.269803944057735,0.0969982215913865,18.508971455133054,0.13805297286907212,9.675794468748137,0.7175592772856176,1.4450500663900918,0.5719311855774297,11.120844535138229,1.2894904628630472,0.6977707385259985,255.5,0.4492936780221164,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050P.nc.nc,RESULTS/,0.9139209867545265,0.0423497157921016,0.0,0.09712342664083157,18.310813231513322,0.10797302416729603,18.310818032715154,0.0,11.156424331214996,1.6663078594845397,0.0,0.9479606382590555,11.156424331214996,2.6142684977435953,0.7560473236060249,255.5,0.4492936780221164,0,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050SC.nc.nc,RESULTS/,0.9446228134445284,0.001186811198070206,0.7613389312725833,0.006230178544316005,7.460822517586734,0.16755687117222573,27.74890776070277,0.19292610214739317,1.121335214081176,0.055864168045350264,11.44866289275975,0.10807086949568884,12.569998106840925,0.1639350375410391,0.7056614570909409,255.5,0.4492936780221164,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R000HBR.nc.nc,RESULTS/,5.45514979705261,0.05238624588365091,0.4151094513745024,0.024760504997518147,6.368483823728326,0.38877691974824063,97.05631931314639,1.2222624824224375,13.546467993805923,1.5305296003983684,128.28897593797424,8.884175827472639,141.83544393178016,10.414705427871008,0.34176838698845813,255.5,0.4492936780221164,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R000P.nc.nc,RESULTS/,5.417518786950513,0.04724818768109608,0.3377248500191523,0.02814931171221747,7.488679896739025,0.36389215840834394,90.23050937979953,1.870527583573344,17.912363493485902,1.7879694967113668,96.0727760071956,8.845546977635841,113.9851395006815,10.633516474347209,0.34780328147542794,255.5,0.4492936780221164,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R000SC.nc.nc,RESULTS/,5.36060863455846,0.02972915232865073,0.3991202672992423,0.034889622424203376,7.118143471555256,0.4178147190146796,49.60541184195396,0.23340507787063428,15.285411523658267,1.8695164551353607,61.15096407992421,5.684727500494142,76.43637560358248,7.554243955629502,0.2818353782265928,255.5,0.4492936780221164,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R050P.nc.nc,RESULTS/,5.032180979857773,0.0071363749122493195,0.15960012813032481,0.007884508624467105,9.541019404576673,0.0334302072754464,38.15298733192382,0.004880706682339159,26.899595505812105,0.38476754712051514,17.689567621831458,0.8989801395226888,44.58916312764356,1.283747686643204,0.34025567819951597,255.5,0.4492936780221164,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R050SC.nc.nc,RESULTS/,5.589331968001154,0.04188645165739519,0.443449800077298,0.020709084978634537,6.400982216477748,0.33894627089600116,76.52409345794959,0.18537897721408467,13.274543932589808,1.2963383571625755,110.22672473409648,5.973623286848699,123.50126866668629,7.269961644011275,0.2528777446856261,255.5,0.4492936780221164,1,1600.0,1600.0
results_simulation_2012021705_cld1_0006_ch2_singleLayer.nc.nc,RESULTS/,3.815135894336571,0.016694467092718327,0.6834174952995662,0.02727294214541408,5.867171279467483,0.3216578015125438,16.088385538382866,0.8365969939997396,4.724266955724331,0.6866587210147754,24.674594030297254,1.092661287008959,29.398860986021585,1.7793200080237344,0.2701058098486923,255.5,0.4492936780221164,1,1600.0,1600.0
results_simulation_2012021705_cld1_0007_ch2_singleLayer.nc.nc,RESULTS/,3.5561116828773502,0.003551083583652945,0.2605526578068834,0.0018118348382897094,4.99988569392656,0.002832166278377398,30.007109244524806,0.00034567774835785406,8.76499072523612,0.03519395915951368,15.915485663806267,0.1265663175753031,24.680476389042386,0.16176027673481677,0.43433474572860653,255.5,0.4492936780221164,1,1600.0,1600.0
results_simulation_2012021817_cld1_0001_ch2_singleLayer.nc.nc,RESULTS/,1.6729552182305898,0.005393596939669456,0.3499584283717027,0.007479449558980895,4.014568759460897,0.09629940100687706,29.31100209694615,0.15915704208403716,2.9105367626106715,0.11268895881988587,9.845889473710942,0.24217357954988572,12.756426236321614,0.3548625383697716,0.6156855315993036,255.10000610351562,0.4302747774883194,1,600.0,600.0
results_simulation_2012021817_cld1_0002_ch2_singleLayer.nc.nc,RESULTS/,1.3493712841667693,0.005447583133816175,0.39256665782819056,0.008213828530092195,4.119404625933601,0.12361367626762848,21.512741756081066,0.16220971045212898,2.2509885391736493,0.10707270853160396,6.583685666641065,0.1643324909647962,8.834674205814714,0.2714051994964002,0.6527503996995766,255.10000610351562,0.4302747774883194,0,600.0,600.0
results_simulation_2012021817_cld1_0003_ch2_singleLayer.nc.nc,RESULTS/,6.235657852070166,0.022445819063507098,0.23008877524751895,0.004834318399421356,4.954326128887903,0.04437319769315913,27.306988152558734,0.005029572717902434,15.856826030977697,0.29866499011029946,22.510474310032006,0.5539885818054346,38.3673003410097,0.8526535719157341,0.26916153964378337,255.10000610351562,0.4302747774883194,1,600.0,600.0
results_simulation_2012021817_cld1_0004_ch2_singleLayer.nc.nc,RESULTS/,1.3325825840506453,0.0016152624720444288,0.5485957290920188,0.011793491518922216,9.943889299511339,0.18094911237069783,25.565154774141124,0.1762711849057892,3.987721488949286,0.18158239217133765,10.73944749148049,0.24389031059575744,14.727168980429777,0.4254727027670951,0.5676190864612626,255.10000610351562,0.4302747774883194,1,600.0,600.0
results_simulation_2012021817_cld1_0005_ch2_R000HBR.nc.nc,RESULTS/,4.066882134770651,0.016329712767804563,0.0,0.008583870487038927,18.292649767009856,0.024277107889433592,18.294360060227362,0.0,49.59603369004593,0.6906898317440102,0.0,0.37246145399131625,49.59603369004593,1.0631512857353265,0.38260483835060655,255.10000610351562,0.4302747774883194,1,600.0,600.0
