fname,date,tt,dtt,fi,dfi,rl,drl,ri,dri,lwp,dlwp,iwp,diwp,twp,dtwp,rms,ctemp,pwv,conv,cbase,ctop
results_simulation_2012012006_cld1_0002_ch2_R000HBR.nc.nc,RESULTS/,1.060611467461602,0.04347022854983397,1.262254410621575e-05,0.1459269769186891,18.962867383735112,0.6748011728221395,18.94508893732032,0.9949263127571037,13.407987157049797,2.9832801313352215,0.00014793746436370076,1.7102846543098131,13.408135094514162,4.693564785645035,0.6899770554520931,255.8000030517578,0.6277198091323827,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R000P.nc.nc,RESULTS/,1.0721211202538063,0.006407931864333222,3.548083762335693e-05,0.1048683777394597,19.038679009478674,0.6783933832493243,20.242501534052533,0.6774190401490974,13.60736376073508,1.9932249934661002,0.00044590402982896276,1.3179318734031298,13.60780966476491,3.31115686686923,0.7764216892326479,255.8000030517578,0.6277198091323827,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R000SC.nc.nc,RESULTS/,1.1044486319594695,0.00456399010251619,0.6747334420245868,0.04318476734136614,11.216941828258832,0.8642503670332764,34.542041756569084,1.1474149412045058,2.686384321074163,0.5747474841541522,14.794911755483488,1.0080546875369076,17.48129607655765,1.5828021716910599,0.6830756121848631,255.8000030517578,0.6277198091323827,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050P.nc.nc,RESULTS/,1.064222497014903,0.059430609376710554,0.0,0.11592669362851613,20.704105516768877,0.4693951808872869,20.704330298348633,0.47614738799026185,14.689183247677203,2.856200791974553,0.0,1.480416825043607,14.689183247677203,4.33661761701816,0.7415115230995416,255.8000030517578,0.6277198091323827,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050SC.nc.nc,RESULTS/,1.0887665021902138,0.005067194331188502,0.6958902864823842,0.050932898137805764,11.352604696537313,1.1081815993453024,30.345478292258473,0.9514685908529851,2.5059321003954427,0.6759771803899376,13.210488773931672,1.0283735716699305,15.716420874327115,1.704350752059868,0.6856462473087748,255.8000030517578,0.6277198091323827,1,3200.0,3200.0
results_simulation_2012021705_cld1_0002_ch2_R000HBR.nc.nc,RESULTS/,0.8772731185846577,0.0026721906380171158,0.0,0.0024274271971773762,18.431500527977054,0.0026636462694890266,18.431785870933172,0.0,10.779639965582128,0.060559610178306814,0.0,0.02290195429917335,10.779639965582128,0.08346156447748017,0.7265581279501145,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000P.nc.nc,RESULTS/,0.8891333103137673,0.0030805176448064774,0.0,0.004314278614393478,20.8231539080983,0.0039022485382833837,20.823875030090935,0.0,12.343039843653667,0.09832845429736745,0.0,0.04629009282174566,12.343039843653667,0.1446185471191131,0.9005869063233395,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000SC.nc.nc,RESULTS/,0.9028552022281062,0.005614724869471049,0.16409259963382308,0.17819598007545792,17.57005290566543,0.5828137946868804,22.56348759547277,1.0705033535975759,8.840118466506897,2.2327170260917253,1.9262820482032663,2.103821280209082,10.766400514710163,4.336538306300808,0.6815403347970653,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050P.nc.nc,RESULTS/,0.8903291173483847,0.004295511960247215,0.17194648446758243,0.11329635745724402,15.634270289513484,0.8945922624542647,33.52893634198439,1.2896594207051164,7.684141240634803,1.5281228578086468,2.9663700959417874,1.9688675710583727,10.65051133657659,3.4969904288670195,0.7575625765588342,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050SC.nc.nc,RESULTS/,0.9350154243314257,0.006125104457262758,0.5602596271268193,0.05094379819649167,10.554856318043926,0.9908208888677098,45.0665918964132,0.862772056951353,2.893184849277922,0.625720615017747,13.563150684285281,1.322133508042207,16.456335533563202,1.947854123059954,0.6728350108169244,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R000HBR.nc.nc,RESULTS/,4.508784639751438,0.08460331275758495,0.25998762783212254,0.12843415098659314,8.914163563683442,1.4203925953607979,39.78150706259732,0.9810491181823744,19.82840642621122,6.97289634880396,26.745114787673792,13.713964895661354,46.573521213885016,20.686861244465312,0.41123547483432554,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R000P.nc.nc,RESULTS/,4.881213899452759,0.03152818062834687,0.39333658993791976,0.022526218859741997,7.5400670494914195,0.16825906213098388,88.23109841976972,0.033443239805200344,14.885368484319034,0.9810312609731819,98.66790336975424,6.287973433687171,113.55327185407327,7.269004694660353,0.3137402117745025,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R000SC.nc.nc,RESULTS/,4.900830328430412,0.09502647737076066,0.4370449495615839,0.05664183996053182,7.608234219826367,0.9624024393965128,75.165018679503,0.4735050756259711,13.993810921046029,3.44947342433037,93.39413495341098,13.914957418957538,107.38794587445702,17.36443084328791,0.2059640738386927,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R050P.nc.nc,RESULTS/,4.599993264088364,0.0872789215473025,0.2798349987149179,0.1351355764377482,9.394059192178645,1.3925299345813438,49.79394912484249,0.614792424686999,20.746805747117065,7.3620905700129615,36.90923338004329,18.524205261501166,57.656039127160355,25.886295831514126,0.2701630860033551,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R050SC.nc.nc,RESULTS/,4.883356606818643,0.21119017331158638,0.4400874806102933,0.12868912119434006,7.603461486652483,2.248411838659393,72.52283503179004,8.269709001726579,13.85985572308849,7.883400204279653,90.5304609881675,30.387873930057577,104.39031671125599,38.27127413433723,0.20418719612320593,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0006_ch2_singleLayer.nc.nc,RESULTS/,3.5163060868131124,0.028219325113960185,0.5317189442480298,0.06327041760196461,9.002042791922966,0.447932528198598,16.190111638650908,0.4866900269000604,9.881959627459072,1.906193658497034,17.819428125576977,2.2633820721021833,27.701387753036048,4.169575730599218,0.1807995050424721,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021705_cld1_0007_ch2_singleLayer.nc.nc,RESULTS/,3.2406832864128896,0.014883343567896567,0.2097424201204473,0.010102386396188004,5.9981659357320956,0.02376869506527522,27.23474507544893,0.003923027070023172,10.240766796388087,0.21852751010927737,10.637758326775444,0.5612304411177629,20.87852512316353,0.7797579512270403,0.37095159343766254,256.5,0.48982209589982545,1,1600.0,1600.0
results_simulation_2012021817_cld1_0001_ch2_singleLayer.nc.nc,RESULTS/,1.5869096728257468,0.04228650294365767,0.343853266851233,0.024159078908377932,4.303026669052356,0.5499491586174983,27.017503753553797,1.0152545651662077,2.9870050504142966,0.5713301274168073,8.474600652313885,0.821249086709779,11.461605702728182,1.3925792141265863,0.5629227334875362,256.1000061035156,0.46908018268171237,1,600.0,600.0
results_simulation_2012021817_cld1_0002_ch2_singleLayer.nc.nc,RESULTS/,1.2924641800598864,0.007895445475190879,0.31264760139281306,0.04735530949879465,5.001492244516142,0.4310554918499987,29.54132338272601,0.7948440426483349,2.9621449660784003,0.4774665152815042,6.844913401641956,1.078583196453678,9.807058367720357,1.5560497117351821,0.6263458736497657,256.1000061035156,0.46908018268171237,1,600.0,600.0
results_simulation_2012021817_cld1_0003_ch2_singleLayer.nc.nc,RESULTS/,5.174303822243699,0.04675772422997645,0.25817549928597805,0.01914093368292672,6.000347725193826,0.014215333249505704,28.353757965328484,0.001563627503397847,15.354591209380105,0.5713154574960437,21.730162948334367,1.8074227897801458,37.08475415771447,2.3787382472761895,0.17326170150003622,256.1000061035156,0.46908018268171237,1,600.0,600.0
results_simulation_2012021817_cld1_0004_ch2_singleLayer.nc.nc,RESULTS/,1.2595609808441548,0.008472849693343412,0.6307906343731948,0.08224150870102728,10.940956376137532,0.8963963654060755,19.818081360890133,0.9518822192752429,3.3920007132772976,1.056294488227499,9.124408185628466,1.251006635863322,12.516408898905764,2.307301124090821,0.5377524330724145,256.1000061035156,0.46908018268171237,1,600.0,600.0
results_simulation_2012021817_cld1_0005_ch2_R000HBR.nc.nc,RESULTS/,3.772728596407822,0.029987755361655287,0.0,0.015006476129137367,17.071634908556288,0.009634824258789866,17.07170029312724,0.0004991095707299818,42.93776347129622,1.0098709147464071,0.0,0.5686169873888849,42.93776347129622,1.578487902135292,0.3487439033215854,256.1000061035156,0.46908018268171237,1,600.0,600.0
results_simulation_2012021817_cld1_0005_ch2_R000P.nc.nc,RESULTS/,3.811225017479289,0.005766855564445738,0.0,0.0072419957765360535,17.869374575266725,0.009047676423461064,17.869849115964545,0.0,45.40280495197659,0.420495476996901,0.0,0.2876504746674093,45.40280495197659,0.7081459516643103,0.5223469490575774,256.1000061035156,0.46908018268171237,1,600.0,600.0
